artist_name,artist_count,country,,,,,,,,,
Bad Bunny,40,United States of America,,,,,,,,,
Taylor Swift,38,United States of America,,,,,,,,,
The Weeknd,37,Canada,,,,,,,,,
Kendrick Lamar,23,United States of America,,,,,,,,,
SZA,23,United States of America,,,,,,,,,
Feid,21,Colombia,,,,,,,,,
Drake,19,Canada,,,,,,,,,
Harry Styles,17,United Kingdom,,,,,,,,,
Peso Pluma,16,Mexico,,,,,,,,,
21 Savage,14,United States of America,,,,,,,,,
Ed Sheeran,14,United Kingdom,,,,,,,,,
Metro Boomin,14,United States of America,,,,,, ,,,
BTS,13,United States of America,,,,,,,,,
Morgan Wallen,13,Netherlands,,,,,,,,,
Quevedo,12,Spain,,,,,,,,,
Rauw Alejandro,12,United States of America,,,,,,,,,
Bizarrap,10,Argentina,,,,,,,,,
Doja Cat,10,United States of America,,,,,,,,,
Future,10,United States of America,,,,,,,,,
Karol G,10,Brazil,,,,,,,,,
Dua Lipa,9,United Kingdom,,,,,,,,,
Eminem,9,United States of America,,,,,,,,,
Labrinth,8,United Kingdom,,,,,,,,,
Grupo Frontera,7,Germany,,,,,,,,,
Junior H,7,United States of America,,,,,,,,,
Justin Bieber,7,Canada,,,,,,,,,
Olivia Rodrigo,7,Japan,,,,,,,,,
Post Malone,7,United States of America,,,,,,,,,
Billie Eilish,6,United States of America,,,,,,,,,
Bruno Mars,6,United States of America,,,,,,,,,
Calvin Harris,6,United States of America,,,,,,,,,
Fuerza Regida,6,United States of America,,,,,,,,,
Jimin,6,United Kingdom,,,,,,,,,
Kanye West,6,United States of America,,,,,,,,,
Lana Del Rey,6,United States of America,,,,,,,,,
Lil Baby,6,United States of America,,,,,,,,,
NewJeans,6,South Korea,,,,,,,,,
Nicki Minaj,6,United States of America,,,,,,,,,
Shakira,6,Colombia,,,,,,,,,
Travis Scott,6,United Kingdom,,,,,,,,,
"Tyler, the Creator",6,United States of America,,,,,,,,,
Anuel Aa,5,United States of America,,,,,,,,,
Coldplay,5,United Kingdom,,,,,,,,,
Don Toliver,5,United States of America,,,,,,,,,
Dr. Dre,5,United States of America,,,,,,,, ,
Duki,5,Argentina,,,,,,,,,
Halsey,5,United States of America,,,,,,,,,
Imagine Dragons,5,United States of America,,,,,,,,,
Jung Kook,5,South Korea,,,,,,,,,
Maria Becerra,5,Argentina,,,,,,,,,
Tiago pzk,5,Argentina,,,,,,,,,
Tini,5,Germany,,,,,,,,,
Adele,4,United Kingdom,,,,,,,,,
Arctic Monkeys,4,United Kingdom,,,,,,,,,
Ariana Grande,4,United States of America,,,,,,,,,
Arijit Singh,4,India,,,,,,,,,
Daddy Yankee,4,United States of America,,,,,,,,,
David Guetta,4,France,,,,,,,,,
Gunna,4,United States of America,,,,,,,,,
IVE,4,South Korea,,,,,,,,,
Ice Spice,4,United Kingdom,,,,,,,,,
J Balvin,4,Colombia,,,,,,,,,
Jack Harlow,4,United States of America,,,,,,,,,
Jhay Cortez,4,Puerto Rico,,,,,,,,,
Lauren Spencer Smith,4,Switzerland,,,,,,,,,
