track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%,genre,country_list,key_encoded,mode_encoded,genre_freq_encoded,country_list_encoded,artist_count_min-max,released_year_min-max,released_month_min-max,released_day_min-max,in_spotify_playlists_min-max,in_spotify_charts_min-max,streams_min-max,in_apple_playlists_min-max,in_apple_charts_min-max,in_deezer_playlists_min-max,in_deezer_charts_min-max,in_shazam_charts_min-max,bpm_min-max,danceability_%_min-max,valence_%_min-max,energy_%_min-max,acousticness_%_min-max,liveness_%_min-max,speechiness_%_min-max,key_encoded_min-max,mode_encoded_min-max,genre_freq_encoded_min-max,country_list_encoded_min-max
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703.0,43,263,45,10,826.0,125,B,Major,80,89,83,31,8,4,"manele, trap","South Korea, United States of America",2,0,0.2864637985309549,0.0041972717733473,0.14285714285714285,1.0,0.5454545454545454,0.43333333333333335,0.009873834339001646,1.0,0.038170370272903334,0.06398809523809523,0.9563636363636364,0.0036387159375758068,0.1724137931034483,0.8667366211962225,0.42553191489361697,0.7808219178082192,0.913978494623656,0.8409090909090909,0.31958762886597936,0.05319148936170213,0.03225806451612903,0.2,0.0,0.9714285714285715,0.009345794392523383
LALA,Myke Towers,1,2023,3,23,1474,48,133716286.0,48,126,58,14,382.0,92,C#,Major,71,61,74,7,10,4,"reggaeton, trap latino, urbano latino",Germany,3,0,0.0010493179433368,0.0115424973767051,0.0,1.0,0.1818181818181818,0.7333333333333333,0.02729490986815972,0.32653061224489793,0.03610081307353085,0.07142857142857142,0.4581818181818182,0.004689900541764373,0.24137931034482757,0.4008394543546695,0.1914893617021276,0.6575342465753424,0.6129032258064517,0.7386363636363636,0.07216494845360824,0.07446808510638298,0.03225806451612903,0.30000000000000004,0.0,0.0,0.03115264797507784
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974.0,94,207,91,14,949.0,138,F,Major,51,32,53,17,31,6,Unknown,Japan,7,0,0.2948583420776495,0.0188877229800629,0.0,1.0,0.4545454545454545,0.9666666666666667,0.025838424726199707,0.7687074829931972,0.037798402385085327,0.13988095238095238,0.7527272727272727,0.007358292229319965,0.24137931034482757,0.9958027282266527,0.5177304964539007,0.38356164383561636,0.3010752688172043,0.5,0.17525773195876287,0.2978723404255319,0.06451612903225806,0.7000000000000001,0.0,0.9999999999999999,0.05295950155763231
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817.0,116,207,125,12,548.0,170,A,Major,55,58,72,11,11,15,Unknown,United States of America,0,0,0.2948583420776495,0.3378803777544596,0.0,0.956989247311828,0.6363636363636364,0.7333333333333333,0.1480507689106626,0.6802721088435374,0.21621526425199158,0.17261904761904762,0.7527272727272727,0.010107544271043907,0.20689655172413793,0.5750262329485835,0.7446808510638298,0.43835616438356156,0.5806451612903226,0.7159090909090909,0.1134020618556701,0.08510638297872342,0.20967741935483872,0.0,0.0,0.9999999999999999,1.0
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322.0,84,133,87,15,425.0,144,A,Minor,65,23,80,14,11,6,"reggaeton, trap latino, latin, urbano latino",United States of America,0,1,0.0199370409233997,0.3378803777544596,0.0,1.0,0.36363636363636365,0.5666666666666667,0.058675544290389084,0.3401360544217687,0.08186889208889073,0.125,0.48363636363636364,0.007034850812646559,0.25862068965517243,0.4459601259181532,0.5602836879432623,0.5753424657534247,0.20430107526881724,0.8068181818181819,0.14432989690721648,0.08510638297872342,0.06451612903225806,0.0,1.0,0.06428571428571409,1.0
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234.0,67,213,88,17,946.0,141,C#,Major,92,66,58,19,8,24,"manele, trap","Russia, United Kingdom",3,0,0.2864637985309549,0.0010493179433368,0.14285714285714285,1.0,0.4545454545454545,0.0,0.04076266858342633,0.6190476190476191,0.04959741172950171,0.09970238095238095,0.7745454545454545,0.007115711166814911,0.29310344827586204,0.9926547743966422,0.5390070921985816,0.9452054794520548,0.6666666666666667,0.5568181818181818,0.1958762886597938,0.05319148936170213,0.3548387096774194,0.30000000000000004,0.0,0.9714285714285715,0.0
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112.0,34,222,43,13,418.0,148,F,Minor,67,83,76,48,8,3,"manele, trap","Brazil, Mexico",7,1,0.2864637985309549,0.0010493179433368,0.14285714285714285,1.0,0.1818181818181818,0.5,0.05786218245786596,0.3401360544217687,0.19600390315019506,0.050595238095238096,0.8072727272727273,0.003476995229239104,0.22413793103448276,0.4386149003147954,0.5886524822695035,0.6027397260273972,0.849462365591398,0.7613636363636364,0.4948453608247423,0.05319148936170213,0.016129032258064516,0.7000000000000001,1.0,0.9714285714285715,0.0
Columbia,Quevedo,1,2023,7,7,714,43,58149378.0,25,89,30,13,194.0,100,F,Major,67,26,71,37,11,4,reggaeton,Spain,7,0,0.0083945435466946,0.0083945435466946,0.0,1.0,0.5454545454545454,0.2,0.012919212363099855,0.2925170068027211,0.015698786871209663,0.03720238095238095,0.3236363636363636,0.002425810625050538,0.22413793103448276,0.20356768100734524,0.24822695035460995,0.6027397260273972,0.23655913978494625,0.7045454545454546,0.38144329896907214,0.08510638297872342,0.03225806451612903,0.7000000000000001,0.0,0.024999999999999942,0.02180685358255446
fukumean,Gunna,1,2023,5,15,1096,83,95217315.0,60,210,48,11,953.0,130,C#,Minor,85,22,62,12,28,9,melodic rap,United States of America,3,1,0.0031479538300104,0.3378803777544596,0.0,1.0,0.36363636363636365,0.4666666666666667,0.02014489189853784,0.564625850340136,0.025706620219902335,0.08928571428571427,0.7636363636363637,0.0038812970000808604,0.1896551724137931,1.0,0.46099290780141844,0.8493150684931507,0.1935483870967742,0.6022727272727273,0.12371134020618557,0.26595744680851063,0.1129032258064516,0.30000000000000004,1.0,0.007142857142856931,1.0
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067.0,49,110,66,13,339.0,170,D,Minor,81,56,48,21,8,33,"manele, trap",Mexico,4,1,0.2864637985309549,0.0094438614900314,0.14285714285714285,1.0,0.1818181818181818,0.5333333333333333,0.05527077382866438,0.29931972789115646,0.1494728405591939,0.07291666666666666,0.4,0.005336783375111183,0.22413793103448276,0.35571878279118574,0.7446808510638298,0.7945205479452055,0.5591397849462366,0.4431818181818181,0.21649484536082475,0.05319148936170213,0.5,0.4,1.0,0.9714285714285715,0.02492211838006216
